timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
31/48/2019 13:48:19.163,3411,HTTP Request,200,OK,Thread Group 1-1,text,true,,235072,347,1,1,https://www.mynet.com/,648,0,441
31/48/2019 13:48:19.163,648,HTTP Request-0,301,Moved permanently,Thread Group 1-1,,true,,129,113,1,1,http://mynet.com/,648,0,441
31/48/2019 13:48:19.812,611,HTTP Request-1,301,Moved permanently,Thread Group 1-1,,true,,130,117,1,1,http://www.mynet.com/,611,0,406
31/48/2019 13:48:20.424,2150,HTTP Request-2,200,OK,Thread Group 1-1,text,true,,234813,117,1,1,https://www.mynet.com/,821,0,594
31/10/2019 13:49:27.110,3448,HTTP Request,200,OK,Thread Group 1-1,text,true,,235358,347,1,1,https://www.mynet.com/,501,0,283
31/10/2019 13:49:27.110,501,HTTP Request-0,301,Moved permanently,Thread Group 1-1,,true,,129,113,1,1,http://mynet.com/,501,0,283
31/10/2019 13:49:27.614,394,HTTP Request-1,301,Moved permanently,Thread Group 1-1,,true,,130,117,1,1,http://www.mynet.com/,394,0,190
31/10/2019 13:49:28.010,2548,HTTP Request-2,200,OK,Thread Group 1-1,text,true,,235099,117,1,1,https://www.mynet.com/,1233,0,1027
31/10/2019 13:56:20.120,3836,HTTP Request,200,OK,Thread Group 1-1,text,true,,234435,347,1,1,https://www.mynet.com/,672,0,452
31/10/2019 13:56:20.120,672,HTTP Request-0,301,Moved permanently,Thread Group 1-1,,true,,129,113,1,1,http://mynet.com/,672,0,452
31/10/2019 13:56:20.795,498,HTTP Request-1,301,Moved permanently,Thread Group 1-1,,true,,130,117,1,1,http://www.mynet.com/,498,0,271
31/10/2019 13:56:21.295,2661,HTTP Request-2,200,OK,Thread Group 1-1,text,true,,234176,117,1,1,https://www.mynet.com/,1025,0,824
31/10/2019 13:58:00.242,2987,HTTP Request,200,OK,Thread Group 1-2,text,true,,234878,347,5,5,https://www.mynet.com/,391,0,172
31/10/2019 13:58:00.242,391,HTTP Request-0,301,Moved permanently,Thread Group 1-2,,true,,129,113,5,5,http://mynet.com/,391,0,172
31/10/2019 13:58:00.635,392,HTTP Request-1,301,Moved permanently,Thread Group 1-2,,true,,130,117,5,5,http://www.mynet.com/,392,0,192
31/10/2019 13:58:01.029,2200,HTTP Request-2,200,OK,Thread Group 1-2,text,true,,234619,117,5,5,https://www.mynet.com/,1013,0,837
31/10/2019 13:58:00.442,2830,HTTP Request,200,OK,Thread Group 1-3,text,true,,234815,347,4,4,https://www.mynet.com/,386,0,177
31/10/2019 13:58:00.442,386,HTTP Request-0,301,Moved permanently,Thread Group 1-3,,true,,129,113,4,4,http://mynet.com/,386,0,177
31/10/2019 13:58:00.829,404,HTTP Request-1,301,Moved permanently,Thread Group 1-3,,true,,130,117,4,4,http://www.mynet.com/,404,0,198
31/10/2019 13:58:01.234,2038,HTTP Request-2,200,OK,Thread Group 1-3,text,true,,234556,117,4,4,https://www.mynet.com/,813,0,636
31/10/2019 13:58:00.184,3099,HTTP Request,200,OK,Thread Group 1-1,text,true,,234866,347,3,3,https://www.mynet.com/,450,0,205
31/10/2019 13:58:00.184,450,HTTP Request-0,301,Moved permanently,Thread Group 1-1,,true,,129,113,3,3,http://mynet.com/,450,0,205
31/10/2019 13:58:00.635,392,HTTP Request-1,301,Moved permanently,Thread Group 1-1,,true,,130,117,3,3,http://www.mynet.com/,392,0,192
31/10/2019 13:58:01.029,2254,HTTP Request-2,200,OK,Thread Group 1-1,text,true,,234607,117,3,3,https://www.mynet.com/,1025,0,847
31/10/2019 13:58:00.642,2733,HTTP Request,200,OK,Thread Group 1-4,text,true,,234866,347,2,2,https://www.mynet.com/,385,0,185
31/10/2019 13:58:00.642,385,HTTP Request-0,301,Moved permanently,Thread Group 1-4,,true,,129,113,2,2,http://mynet.com/,385,0,185
31/10/2019 13:58:01.029,407,HTTP Request-1,301,Moved permanently,Thread Group 1-4,,true,,130,117,2,2,http://www.mynet.com/,407,0,204
31/10/2019 13:58:01.436,1939,HTTP Request-2,200,OK,Thread Group 1-4,text,true,,234607,117,2,2,https://www.mynet.com/,742,0,568
31/10/2019 13:58:00.841,2723,HTTP Request,200,OK,Thread Group 1-5,text,true,,234866,347,1,1,https://www.mynet.com/,392,0,186
31/10/2019 13:58:00.841,392,HTTP Request-0,301,Moved permanently,Thread Group 1-5,,true,,129,113,1,1,http://mynet.com/,392,0,186
31/10/2019 13:58:01.234,406,HTTP Request-1,301,Moved permanently,Thread Group 1-5,,true,,130,117,1,1,http://www.mynet.com/,406,0,201
31/10/2019 13:58:01.643,1921,HTTP Request-2,200,OK,Thread Group 1-5,text,true,,234607,117,1,1,https://www.mynet.com/,720,0,545
